#********** START OF renumber-sheet.ulp ULP Version 4.4.4 29-09-2017 :11:44:20 LOG **********#
#OldRef				SheetNumber	NewRef
JMP-HOLDER				1	JMP-HOLDER57
JMP-UID				1	JMP-UID57
JMP-USB				1	JMP-USB57
USB				1	USB57
#********** END OF renumber-sheet.ulp ULP Version 4.4.4 29-09-2017 :11:44:20 LOG **********#

#********** START OF fix_via_hack.ulp ULP Version 4.7.0 29-09-2017 :11:44:24 LOG **********#
TRACK	WireCount=1		Net=3.3V				start(X=39370.000000 Y=12700.000000)	end(X=37876.696875 Y=12700.000000 )
TRACK	WireCount=2		Net=GND				start(X=44450.000000 Y=16444.875000)	end(X=44831.000000 Y=16764.000000 )
TRACK	WireCount=3		Net=GND				start(X=55245.000000 Y=3683.000000)	end(X=55245.000000 Y=6477.000000 )
TRACK	WireCount=4		Net=GND				start(X=55245.000000 Y=6477.000000)	end(X=54991.000000 Y=6731.000000 )
TRACK	WireCount=5		Net=GND				start(X=54991.000000 Y=6731.000000)	end(X=51054.000000 Y=6731.000000 )
TRACK	WireCount=6		Net=GND				start(X=51054.000000 Y=6731.000000)	end(X=51054.000000 Y=7493.000000 )
TRACK	WireCount=7		Net=GND				start(X=44450.000000 Y=16444.875000)	end(X=49530.000000 Y=21524.875000 )
TRACK	WireCount=8		Net=GND				start(X=49530.000000 Y=21524.875000)	end(X=49530.000000 Y=22161.500000 )
TRACK	WireCount=9		Net=GND				start(X=49847.500000 Y=6731.000000)	end(X=49657.000000 Y=6540.500000 )
TRACK	WireCount=10		Net=GND				start(X=49657.000000 Y=6540.500000)	end(X=49657.000000 Y=6159.500000 )
TRACK	WireCount=11		Net=GND				start(X=44831.000000 Y=16764.000000)	end(X=46008.425000 Y=18003.300000 )
TRACK	WireCount=12		Net=GND				start(X=48665.193750 Y=13462.000000)	end(X=48577.500000 Y=13144.500000 )
TRACK	WireCount=13		Net=GND				start(X=47559.871875 Y=10795.000000)	end(X=47053.500000 Y=10922.000000 )
TRACK	WireCount=14		Net=N$15				start(X=46863.000000 Y=3245.000000)	end(X=46443.000000 Y=3556.000000 )
TRACK	WireCount=15		Net=N$18				start(X=40195.500000 Y=23749.000000)	end(X=40195.500000 Y=22860.000000 )
TRACK	WireCount=16		Net=N$18				start(X=40195.500000 Y=23749.000000)	end(X=39890.000000 Y=24130.000000 )
TRACK	WireCount=17		Net=N$18				start(X=40615.500000 Y=22479.000000)	end(X=40195.500000 Y=22860.000000 )
PADFILL	PadCount=12		Net=GND				(X=50165.000000 Y=7214.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=14		Net=GND				(X=45847.000000 Y=22122.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=16		Net=GND				(X=33337.500000 Y=11850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=18		Net=GND				(X=16128.000000 Y=21717.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=20		Net=GND				(X=16128.000000 Y=18669.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=21		Net=GND				(X=16407.500000 Y=15938.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=24		Net=GND				(X=44743.000000 Y=3556.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=26		Net=GND				(X=54356.000000 Y=3976.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=28		Net=GND				(X=7399.400000 Y=18796.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=99		Net=GND				(X=42315.500000 Y=22479.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=104		Net=GND				(X=67285.500000 Y=15557.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=106		Net=GND				(X=73025.000000 Y=11592.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=107		Net=GND				(X=71275.000000 Y=9842.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=110		Net=GND				(X=71275.000000 Y=15557.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=122		Net=GND				(X=48483.300000 Y=9871.571875)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=128		Net=GND				(X=49543.959375 Y=14467.765625)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=138		Net=GND				(X=46008.425000 Y=18003.300000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=173		Net=GND				(X=41412.231250 Y=6336.037500)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=177		Net=GND				(X=4360.500000 Y=11400.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=179		Net=GND				(X=1460.500000 Y=16500.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=180		Net=GND				(X=1460.500000 Y=8900.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=181		Net=GND				(X=4010.500000 Y=15800.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=182		Net=GND				(X=4010.500000 Y=9600.000000)	LayerStart=1	LayerEnd=1
#********** END OF fix_via_hack.ulp ULP Version 4.7.0 29-09-2017 :11:44:24 LOG **********#

#********** START OF eagle6xx-sch-to-kicad-sch.ulp 2.0 29-09-2017 :11:44:32 LOG **********#
    Conversion completed with no Messages
#********** END OF eagle6xx-sch-to-kicad-sch.ulp 2.0 29-09-2017 :11:44:32 LOG **********#

#********** START OF exp-lbrs.ulp 6.8 29-09-2017 :11:44:33 LOG **********#
OK: Eagle library export from SCH/PCB successful
    Conversion completed with no messages
#********** END OF exp-lbrs.ulp 6.8 29-09-2017 :11:44:33 LOG **********#


#********** START OF eagle-lbr2kicad-1.0.ulp 3.0 29-09-2017 :11:44:38 LOG **********#
Missing Prefix Part =''				NO-PACKAGE					F405Pill		M
    Conversion completed with no Messages
#********** END OF eagle-lbr2kicad-1.0.ulp 3.0 29-09-2017 :11:44:38 LOG **********#

